,A,B,C,D,E,F,G,H
0.0,0.524656931521779,0.0,0.005218976727582832,0.0,0.0,0.3445481951742554,0.48210543452725907,0.0
0.06202,0.4866901528626766,0.0,0.0,0.03838742938528682,0.036315379988617495,0.30633464922216,0.5094042905402325,0.0
0.25798,0.4352374842057934,0.017420576244100965,0.004992342981129992,0.08409923695897577,0.0009736040729144874,0.2780499319761874,0.5044330650669175,0.011195929253773454
0.4,0.3736809496040378,0.0700377950041749,0.0,0.054057553689192905,0.011334463989143182,0.2564052675270661,0.5060822308211117,0.02402309733573224
0.46202,0.3768011838708532,0.0545505512267789,0.007426181726332052,0.046658701258968406,0.0,0.29513440252316675,0.4621069412839631,0.017250940061833923
0.65798,0.31147397159336276,0.081880993278959,0.0,0.1066249950339352,0.0,0.26957812647377777,0.44311092254540224,0.0019173482020093564
0.8,0.31286569501429884,0.08520200620218553,0.0,0.12715322495283837,0.02466522396104054,0.24432587932154703,0.4825522286174596,0.048297191903618954
0.86202,0.30148209472889,0.052740634049187406,0.0,0.17678612391444856,0.015712169782505243,0.26763153022138486,0.4557832096193287,0.03900416015294426
1.05798,0.2403788353850256,0.12447984434391207,0.0,0.11553697824907436,0.029845669993493428,0.26422395169434193,0.4808769193018323,0.05047378821066678
1.2,0.20222595499901488,0.09957487666273443,0.0,0.16199935659274425,0.0,0.24136856978319615,0.496090926222824,0.08105512247545074
1.26202,0.2229990059737506,0.12265019954378596,0.0,0.17844093722724105,0.02419991742295322,0.2449312821107733,0.44175176390887444,0.022381889463517216
1.45798,0.16500543541767065,0.10363641912760865,0.015146505654733928,0.14850053386826262,0.0,0.27221490565265616,0.4473879566520233,0.04274681250700124
1.6,0.188039964447006,0.1154694249014532,0.015036406283449079,0.15778875382811156,0.004337615009549862,0.26219716184581404,0.43443482872721134,0.02990777364755159
1.66202,0.17386478960834773,0.10262001887621733,0.0,0.19888502461280239,0.0,0.2640643580792192,0.44739839101945766,0.04917380006471062
1.85798,0.14110390613998575,0.15543275733526632,0.0411172565628678,0.16638752277522117,0.014170993036942952,0.2798033832233861,0.4115140765444615,0.06396402829032909
2.0,0.12188197376111959,0.12511182839443563,0.0,0.19159325058595697,0.051571274382110996,0.22202195407676756,0.41856897181716307,0.042470252322917276
