
% frame   0
% time 0.000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus     aster
         1         1     7.000    -5.821     2.273    -1.941    -0.520     0.649    -0.554     7.000     1.000         1
         1         2     7.000    -6.315    -0.301    -2.608    -0.661    -0.086    -0.745     7.000     1.000         1
         1         3     7.000    -7.359     0.510     0.842    -0.960     0.146     0.241     7.000     1.000         1
         1         4     7.000    -6.390     1.495     2.074    -0.683     0.427     0.593     7.000     1.000         1
         1         5     7.000    -5.101     0.987     3.172    -0.315     0.282     0.906     7.000     1.000         1
         1         6     7.000    -4.274     3.359     0.945    -0.078     0.960     0.270     7.000     1.000         1
         1         7     7.000    -3.271     1.763    -2.934     0.208     0.504    -0.838     7.000     1.000         1
         1         8     7.000    -2.054     2.867     0.490     0.556     0.819     0.140     7.000     1.000         1
         1         9     7.000    -3.264     2.418     2.421     0.210     0.691     0.692     7.000     1.000         1
         1        10     7.000    -7.414     0.481    -0.601    -0.976     0.137    -0.172     7.000     1.000         1
         1        11     7.000    -3.637     1.740     3.015     0.104     0.497     0.862     7.000     1.000         1
         1        12     7.000    -5.992     0.442     2.844    -0.569     0.126     0.812     7.000     1.000         1
         1        13     7.000    -4.651    -3.412     0.432    -0.186    -0.975     0.123     7.000     1.000         1
         1        14     7.000    -1.908     2.174    -1.774     0.598     0.621    -0.507     7.000     1.000         1
         1        15     7.000    -3.454    -2.361    -2.525     0.156    -0.675    -0.721     7.000     1.000         1
         1        16     7.000    -4.256    -3.432    -0.638    -0.073    -0.981    -0.182     7.000     1.000         1
         1        17     7.000    -4.376    -3.208    -1.349    -0.107    -0.916    -0.386     7.000     1.000         1
         1        18     7.000    -1.484     1.670    -1.770     0.719     0.477    -0.506     7.000     1.000         1
         1        19     7.000    -1.003    -1.058     1.466     0.856    -0.302     0.419     7.000     1.000         1
         1        20     7.000    -6.538    -2.317     0.665    -0.725    -0.662     0.190     7.000     1.000         1
         1        21     7.000    -6.799     0.171     2.094    -0.800     0.049     0.598     7.000     1.000         1
         1        22     7.000    -0.622     0.856    -0.324     0.965     0.244    -0.093     7.000     1.000         1
         1        23     7.000    -7.357     0.871     0.473    -0.959     0.249     0.135     7.000     1.000         1
         1        24     7.000    -4.032    -0.998     3.354    -0.009    -0.285     0.958     7.000     1.000         1
         1        25     7.000    -5.485    -1.202     2.933    -0.424    -0.343     0.838     7.000     1.000         1
         1        26     7.000    -5.144    -1.383    -3.005    -0.327    -0.395    -0.859     7.000     1.000         1
         1        27     7.000    -2.490     0.816    -3.050     0.431     0.233    -0.871     7.000     1.000         1
         1        28     7.000    -2.999    -1.124    -3.160     0.286    -0.321    -0.903     7.000     1.000         1
         1        29     7.000    -5.742     2.560     1.631    -0.498     0.731     0.466     7.000     1.000         1
         1        30     7.000    -2.543    -2.479     1.995     0.416    -0.708     0.570     7.000     1.000         1
         1        31     7.000    -5.262    -1.284    -3.001    -0.361    -0.367    -0.857     7.000     1.000         1
         1        32     7.000    -3.359    -3.243    -1.150     0.183    -0.927    -0.328     7.000     1.000         1
         1        33     7.000     5.314     3.135    -0.833     0.375     0.896    -0.238     7.000     1.000         2
         1        34     7.000     3.422    -2.773    -2.055    -0.165    -0.792    -0.587     7.000     1.000         2
         1        35     7.000     6.517    -1.817    -1.617     0.719    -0.519    -0.462     7.000     1.000         2
         1        36     7.000     0.583     0.482    -0.584    -0.976     0.138    -0.167     7.000     1.000         2
         1        37     7.000     1.417     1.567    -1.768    -0.738     0.448    -0.505     7.000     1.000         2
         1        38     7.000     2.967    -2.620     2.078    -0.295    -0.749     0.594     7.000     1.000         2
         1        39     7.000     0.575    -0.694     0.187    -0.979    -0.198     0.053     7.000     1.000         2
         1        40     7.000     6.349     1.339     2.223     0.671     0.382     0.635     7.000     1.000         2
         1        41     7.000     0.642    -0.883     0.439    -0.960    -0.252     0.126     7.000     1.000         2
         1        42     7.000     7.112    -1.382     0.807     0.889    -0.395     0.231     7.000     1.000         2
         1        43     7.000     3.371     0.391    -3.421    -0.180     0.112    -0.977     7.000     1.000         2
         1        44     7.000     0.562    -0.149    -0.641    -0.982    -0.043    -0.183     7.000     1.000         2
         1        45     7.000     2.576     2.426     2.082    -0.407     0.693     0.595     7.000     1.000         2
         1        46     7.000     7.360    -0.227     0.954     0.960    -0.065     0.273     7.000     1.000         2
         1        47     7.000     4.567     0.424     3.428     0.162     0.121     0.979     7.000     1.000         2
         1        48     7.000     1.835    -1.823     2.059    -0.619    -0.521     0.588     7.000     1.000         2
         1        49     7.000     1.100    -0.482    -1.899    -0.829    -0.138    -0.542     7.000     1.000         2
         1        50     7.000     1.814    -2.489    -1.130    -0.625    -0.711    -0.323     7.000     1.000         2
         1        51     7.000     2.086    -1.289    -2.631    -0.547    -0.368    -0.752     7.000     1.000         2
         1        52     7.000     1.675     2.359    -1.130    -0.664     0.674    -0.323     7.000     1.000         2
         1        53     7.000     2.524    -2.814    -1.467    -0.422    -0.804    -0.419     7.000     1.000         2
         1        54     7.000     5.543     2.186    -2.256     0.441     0.624    -0.645     7.000     1.000         2
         1        55     7.000     1.300     2.178     0.464    -0.771     0.622     0.133     7.000     1.000         2
         1        56     7.000     0.775    -1.360    -0.000    -0.921    -0.389    -0.000     7.000     1.000         2
         1        57     7.000     4.466    -2.840    -1.992     0.133    -0.811    -0.569     7.000     1.000         2
         1        58     7.000     3.409     3.408    -0.535    -0.169     0.974    -0.153     7.000     1.000         2
         1        59     7.000     2.365     2.776    -1.367    -0.467     0.793    -0.391     7.000     1.000         2
         1        60     7.000     1.972    -2.763    -0.707    -0.580    -0.789    -0.202     7.000     1.000         2
         1        61     7.000     5.111     2.922    -1.574     0.318     0.835    -0.450     7.000     1.000         2
         1        62     7.000     2.481     1.918    -2.503    -0.434     0.548    -0.715     7.000     1.000         2
         1        63     7.000     3.695     2.453     2.478    -0.087     0.701     0.708     7.000     1.000         2
         1        64     7.000     4.198    -1.798     2.996     0.057    -0.514     0.856     7.000     1.000         2
% end

% frame   1
% time 0.250
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus     aster
         1         1     7.000    -4.645     2.320    -2.191    -0.007     0.839    -0.544     6.222     0.261         1
         1         2     7.000    -5.083    -0.446    -3.092    -0.076    -0.037    -0.996     5.870     0.038         1
         1         3     7.000    -6.206     0.572     1.079    -0.364     0.495     0.789     5.254    -0.346         1
         1         4     7.000    -5.223     1.432     2.043    -0.118     0.571     0.812     6.059     0.136         1
         1         5     7.000    -4.011     0.932     2.964     0.063     0.346     0.936     6.673     0.659         1
         1         6     7.000    -3.334     3.226     0.756     0.136     0.940     0.312     6.872     0.851         1
         1         7     7.000    -2.388     1.743    -3.101     0.264     0.543    -0.797     6.991     0.987         1
         1         8     7.000    -1.506     2.911     0.362     0.422     0.888     0.183     6.992     0.990         1
         1         9     7.000    -2.669     2.332     2.220     0.150     0.689     0.709     6.998     0.999         1
         1        10     7.000    -6.334     0.732    -1.042    -0.376     0.786    -0.491     4.935    -0.411         1
         1        11     7.000    -2.896     1.618     2.791     0.151     0.484     0.862     6.984     0.983         1
         1        12     7.000    -4.847     0.335     2.747    -0.054     0.190     0.980     6.278     0.332         1
         1        13     7.000    -3.548    -3.531     0.349     0.113    -0.967     0.228     6.716     0.727         1
         1        14     7.000    -1.273     2.276    -1.952     0.482     0.721    -0.497     6.990     0.989         1
         1        15     7.000    -2.444    -2.469    -2.719     0.269    -0.668    -0.694     6.974     0.976         1
         1        16     7.000    -3.174    -3.555    -0.833     0.181    -0.975    -0.127     6.811     0.827         1
         1        17     7.000    -3.272    -3.339    -1.566     0.173    -0.923    -0.345     6.768     0.783         1
         1        18     7.000    -0.767     1.747    -1.984     0.672     0.536    -0.511     6.999     0.999         1
         1        19     7.000    -0.265    -1.094     1.453     0.789    -0.315     0.527     6.990     0.987         1
         1        20     7.000    -5.273    -2.711     0.598    -0.134    -0.899     0.418     5.871     0.047         1
         1        21     7.000    -5.560     0.084     2.202    -0.198     0.161     0.967     5.822    -0.043         1
         1        22     7.000     0.160     0.981    -0.386     0.944     0.329    -0.036     6.999     1.000         1
         1        23     7.000    -6.203     1.178     0.480    -0.357     0.782     0.511     5.224    -0.370         1
         1        24     7.000    -3.081    -0.953     3.153     0.140    -0.200     0.970     6.942     0.935         1
         1        25     7.000    -4.347    -1.323     2.800    -0.004    -0.341     0.940     6.494     0.517         1
         1        26     7.000    -3.980    -1.563    -3.297     0.089    -0.412    -0.907     6.446     0.498         1
