,formula,GWP100_AR4,GWP100_AR5,GWP100,Radiative_efficiency,lifetime,MAGICC6_varname,MAGICC6_unit,MAGICC7_varname,description,source
PFC-14,CF4,7390,6630,6630,0.09,50000,CF4,kt,,,IPCC_AR4
PFC-116,C2F6,12200,11100,11100,0.25,10000,C2F6,kt,,,IPCC_AR4
PFC-218,C3F8,8830,8900,8900,0.28,2600,,,,,IPCC_AR4
PFC-318,c-C4F8,10300,9540,9540,0.32,3200,,,,,IPCC_AR4
PFC-3-1-10,C4F10,8860,9200,9200,0.36,2600,,,,,IPCC_AR4
PFC-4-1-12,C5F12,13300,8550,8550,0.41,4100,,,,,IPCC_AR4
PFC-5-1-14,C6F14,9300,7910,7910,0.44,3200,C6F14,kt,,,IPCC_AR4
PFC-9-1-18,C10F18,9300,7190,7190,0.55,2000,,,,,IPCC_AR4
"trifluoromethyl sulphur pentafluoride",SF5CF3,21200,17400,17400,0.59,800,,,,,IPCC_AR4
HFE-134,CHF2OCHF2,1960,5560,5560,0.44,26,,,,,IPCC_AR4
HFE-143a,CH3OCF3,230,523,523,0.18,4.3,,,,,IPCC_AR4
HCFE-235da2,CHF2OCHClCF3,106,491,491,0.42,2.6,,,,,IPCC_AR4
HFE-245cb2,CH3OCF2CHF2,215,654,654,0.33,5.1,,,,,IPCC_AR4
HFE-245fa2,CHF2OCH2CF3,200,812,812,0.36,4.9,,,,,IPCC_AR4
HFE-254cb2,CH3OCF2CHF2,109,301,301,0.26,2.6,,,,,IPCC_AR4
HFE-347mcc3,CH3OCF2CF2CF3,175,530,530,0.35,5.2,,,,,IPCC_AR4
HFE-347pcf2,CHF2CF2OCH2CF3,175,889,889,0.48,7.1,,,,,IPCC_AR4
HFE-356pcc3,CH3OCF2CF2CHF2,33,413,413,0.32,0.33,,,,,IPCC_AR4
HFE-449sl,C4F9OCH3,90,421,421,0.36,3.8,,,,,IPCC_AR4
HFE-569sf2,C4F9OC2H5,18,57,57,0.3,0.77,,,,,IPCC_AR4
HFE-43-10pccc124,CHF2OCF2OC2F4OCHF2,569,2820,2820,1.02,6.3,,,,,IPCC_AR4
HFE-236ca12,CHF2OCF2OCHF2,860,4240,4240,0.56,12.1,,,,,IPCC_AR4
HFE-338pcc13,CHF2OCF2CF2OCHF2,460,2910,2910,0.86,6.2,,,,,IPCC_AR4
PFPMIE,"CF3OCF(CF3)CF2OCF2 OCF3",12400,9710,9710,0.65,800,,,,,IPCC_AR4
Dimethylether,CH3OCH3,,,,,0.015,,,,,IPCC_AR4
"Methylene chloride",CH2Cl2,2.7,9,9,0.03,0.38,,,,,IPCC_AR4
"Methyl chloride",CH3Cl,1,12,12,0.01,1,,,,,IPCC_AR4
CO2,CO2,1,1,1,,,FossilCO2,GtC,,,IPCC_AR5
CH4,CH4,25,28,28,,12.4,CH4,Mt,,,IPCC_AR5
N2O,N2O,298,265,265,,121,N2O,MtN2O-N,,,IPCC_AR5
HCFC-21,CHCl2F,,148,148,,1.7,,,,,IPCC_AR5
HCFC-122,CHCl2CF2Cl,,59,59,,1,,,,,IPCC_AR5
HCFC-122a,CHFClCFCl2,,258,258,,3.4,,,,,IPCC_AR5
HCFC-123a,CHClFCF2Cl,,370,370,,4,,,,,IPCC_AR5
HCFC-132c,CH2FCFCl2,,338,338,,4.3,,,,,IPCC_AR5
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",trans-CF3CH=CHCl,,1,1,,0.07123287671232877,,,,,IPCC_AR5
HFC-143,CH2FCHF2,,328,328,,3.5,,,,,IPCC_AR5
HFC-152,CH2FCH2F,,16,16,,0.4,,,,,IPCC_AR5
HFC-161,CH3CH2F,,4,4,,0.18082191780821918,,,,,IPCC_AR5
HFC-227ca,CF3CF2CHF2,,2640,2640,,28.2,,,,,IPCC_AR5
HFC-236cb,CH2FCF2CF3,,1210,1210,,13.1,,,,,IPCC_AR5
HFC-236ea,CHF2CHFCF3,,1330,1330,,11,,,,,IPCC_AR5
HFC-245ca,CH2FCF2CHF2,,716,716,,6.5,,,,,IPCC_AR5
HFC-245cb,CF3CF2CH3,,4620,4620,,47.1,,,,,IPCC_AR5
HFC-245ea,CHF2CHFCHF2,,235,235,,3.2,,,,,IPCC_AR5
HFC-245eb,CH2FCHFCF3,,290,290,,3.1,,,,,IPCC_AR5
HFC-263fb,CH3CH2CF3,,76,76,,1.2,,,,,IPCC_AR5
HFC-272ca,CH3CF2CH3,,144,144,,2.6,,,,,IPCC_AR5
HFC-329p,CHF2CF2CF2CF3,,2360,2360,0.53,28.4,,,,,IPCC_AR5
HFC-1132a,CH2=CF2,,2360,2360,,0.010958904109589041,,,,,IPCC_AR5
HFC-1141,CH2=CHF,,2360,2360,,0.005753424657534247,,,,,IPCC_AR5
(Z)-HFC-1225ye,CF3CF=CHF(Z),,2360,2360,,0.023287671232876714,,,,,IPCC_AR5
(E)-HFC-1225ye,CF3CF=CHF(E),,2360,2360,,0.013424657534246577,,,,,IPCC_AR5
(Z)-HFC-1234ze,CF3CH=CHF(Z),,2360,2360,,0.0273972602739726,,,,,IPCC_AR5
HFC-1234yf,CF3CF=CH2,,2360,2360,,0.028767123287671233,,,,,IPCC_AR5
(E)-HFC-1234ze,trans-CF3CH=CHF,,2360,2360,,0.044931506849315066,,,,,IPCC_AR5
(Z)-HFC-1336,CF3CH=CHCF3(Z),,2,2,,0.06027397260273973,,,,,IPCC_AR5
HFC-1243zf,CF3CH=CH2,,2,2,,0.019178082191780823,,,,,IPCC_AR5
HFC-1345zfc,C2F5CH=CH2,,2,2,,0.020821917808219178,,,,,IPCC_AR5
"3,3,4,4,5,5,6,6,6-Nonafluorohex-1-ene",C4F9CH=CH2,,2,2,,0.020821917808219178,,,,,IPCC_AR5
"3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluorooct-1-ene",C6F13CH=CH2,,2,2,,0.020821917808219178,,,,,IPCC_AR5
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodec-1-ene",C8F17CH=CH2,,2,2,,0.020821917808219178,,,,,IPCC_AR5
Chloroform,CHCl3,,16,16,,0.4,,,,,IPCC_AR5
"1,2-Dichloroethane",CH2ClCH2Cl,,16,16,,0.1780821917808219,,,,,IPCC_AR5
"Methylene bromide",CH2Br2,,1,1,,0.3,,,,,IPCC_AR5
Halon-1201,CHBrF2,,376,376,,5.2,,,,,IPCC_AR5
Halon-1202,CBr2F2,,231,231,,2.9,,,,,IPCC_AR5
Halon-2301,CH2BrCF3,,173,173,,3.4,,,,,IPCC_AR5
Halon-2311,CHBrClCF3,,41,41,,1,,,,,IPCC_AR5
Halon-2401,CHFBrCF3,,184,184,,2.9,,,,,IPCC_AR5
"Sulphuryl fluoride",SO2F2,,4090,4090,,36,,,,,IPCC_AR5
PFC-c216,c-C3F6,,9200,9200,,3000,,,,,IPCC_AR5
Perfluorocyclopentene,c-C5F8,,2,2,,0.08493150684931507,,,,,IPCC_AR5
PFC-61-16,n-C7F16,,7820,7820,,3000,,,,,IPCC_AR5
PFC-71-18,C8F18,,7620,7620,,3000,,,,,IPCC_AR5
"Perfluorodecalin (cis)",Z-C10F18,,7240,7240,,2000,,,,,IPCC_AR5
"Perfluorodecalin (trans)",E-C10F18,,6290,6290,,2000,,,,,IPCC_AR5
PFC-1114,CF2=CF2,,6290,6290,,0.0030136986301369864,,,,,IPCC_AR5
PFC-1216,CF3CF=CF2,,6290,6290,,0.013424657534246577,,,,,IPCC_AR5
"Perfluorobuta-1,3-diene",CF2=CFCF=CF2,,6290,6290,,0.0030136986301369864,,,,,IPCC_AR5
Perfluorobut-1-ene,CF3CF2CF=CF2,,6290,6290,,0.01643835616438356,,,,,IPCC_AR5
Perfluorobut-2-ene,CF3CF=CFCF3,,2,2,,0.08493150684931507,,,,,IPCC_AR5
HFE-125,CHF2OCF3,,12400,12400,,119,,,,,IPCC_AR5
HFE-227ea,CF3CHFOCF3,,6450,6450,,51.6,,,,,IPCC_AR5
"HCFE-235ca2 (enflurane)",CHF2OCF2CHFCl,,583,583,,4.3,,,,,IPCC_AR5
"HFE-236ea2 (desflurane)",CHF2OCHFCF3,,1790,1790,,10.8,,,,,IPCC_AR5
HFE-236fa,CF3CH2OCF3,,979,979,,7.5,,,,,IPCC_AR5
HFE-245fa1,CHF2CH2OCF3,,828,828,,6.6,,,,,IPCC_AR5
"2,2,3,3,3-Pentafluoropropan-1-ol",CF3CF2CH2OH,,19,19,,0.3,,,,,IPCC_AR5
HFE-263fb2,CF3CH2OCH3,,1,1,,0.06301369863013699,,,,,IPCC_AR5
HFE-263m1,CF3OCH2CH3,,29,29,,0.4,,,,,IPCC_AR5
"3,3,3-Trifluoropropan-1-ol",CF3CH2CH2OH,,29,29,,0.03287671232876712,,,,,IPCC_AR5
HFE-338mmz1,(CF3)2CHOCHF2,,2620,2620,,21.2,,,,,IPCC_AR5
HFE-338mcf2,CF3CH2OCF2CF3,,929,929,,7.5,,,,,IPCC_AR5
"Sevoflurane (HFE-347mmz1)",(CF3)2CHOCH2F,,216,216,,2.2,,,,,IPCC_AR5
HFE-347mcf2,CHF2CH2OCF2CF3,,854,854,,6.6,,,,,IPCC_AR5
HFE-347mmy1,(CF3)2CFOCH3,,363,363,,3.7,,,,,IPCC_AR5
HFE-356mec3,CH3OCF2CHFCF3,,387,387,,3.8,,,,,IPCC_AR5
HFE-356mff2,CF3CH2OCH2CF3,,17,17,,,,,,,IPCC_AR5
HFE-356pcf2,CHF2CH2OCF2CHF2,,719,719,,5.7,,,,,IPCC_AR5
HFE-356pcf3,CHF2OCH2CF2CHF2,,446,446,,3.5,,,,,IPCC_AR5
HFE-356mmz1,(CF3)2CHOCH3,,14,14,,0.26602739726027397,,,,,IPCC_AR5
HFE-365mcf3,CF3CF2CH2OCH3,,14,14,,0.052876712328767124,,,,,IPCC_AR5
HFE-365mcf2,CF3CF2OCH2CH3,,58,58,,0.6,,,,,IPCC_AR5
HFE-374pc2,CHF2CF2OCH2CH3,,627,627,,5,,,,,IPCC_AR5
"4,4,4-Trifluorobutan-1-ol",CF3(CH2)2CH2OH,,627,627,,0.010958904109589041,,,,,IPCC_AR5
"2,2,3,3,4,4,5,5-Octafluorocyclopentanol",-(CF2)4CH(OH)-,,13,13,,0.3,,,,,IPCC_AR5
n-HFE-7100,n-C4F9OCH3,,486,486,,4.7,,,,,IPCC_AR5
i-HFE-7100,i-C4F9OCH3,,407,407,,4.7,,,,,IPCC_AR5
n-HFE-7200,n-C4F9OC2H5,,65,65,,0.8,,,,,IPCC_AR5
i-HFE-7200,i-C4F9OC2H5,,44,44,,0.8,,,,,IPCC_AR5
"1,1,1,3,3,3-Hexafluoropropan-2-ol",(CF3)2CHOH,,182,182,,1.9,,,,,IPCC_AR5
HG-02,HF2C–(OCF2CF2)2–OCF2H,,2730,2730,,12.9,,,,,IPCC_AR5
HG-03,HF2C–(OCF2CF2)3–OCF2H,,2850,2850,,12.9,,,,,IPCC_AR5
HG-20,HF2C–(OCF2)2–OCF2H,,5300,5300,,25,,,,,IPCC_AR5
HG-21,"HF2C–OCF2CF2OC- F2OCF2O–CF2H",,3890,3890,,13.5,,,,,IPCC_AR5
HG-30,HF2C–(OCF2)3–OCF2H,,7330,7330,,25,,,,,IPCC_AR5
"1-Ethoxy-1,1,2,2,3,3,3-heptafluoropropane",CF3CF2CF2OCH2CH3,,61,61,,0.8,,,,,IPCC_AR5
Fluoroxene,CF3CH2OCH=CH2,,61,61,,0.009863013698630137,,,,,IPCC_AR5
"1,1,2,2-Tetrafluoro-1-(fluoromethoxy)ethane",CH2FOCF2CF2H,,871,871,,6.2,,,,,IPCC_AR5
"2-Ethoxy-3,3,4,4,5-pentafluorotetrahydro-2,5-bis[1,2,2,2-tetrafluoro-1-(trifluoromethyl)ethyl]-furan",C12H5F19O2,,56,56,,1,,,,,IPCC_AR5
Fluoro(methoxy)methane,CH3OCH2F,,13,13,0.17,0.2,,,,,IPCC_AR5
Fluoro(fluoromethoxy)methane,CH2FOCH2F,,130,130,0.3,0.9,,,,,IPCC_AR5
Trifluoro(fluoromethoxy)methane,CH2FOCF3,,751,751,,4.4,,,,,IPCC_AR5
HG’-01,CH3OCF2CF2OCH3,,222,222,,2,,,,,IPCC_AR5
HG’-02,CH3O(CF2CF2O)2CH3,,236,236,,2,,,,,IPCC_AR5
HG’-03,CH3O(CF2CF2O)3CH3,,221,221,,2,,,,,IPCC_AR5
HFE-329me3,CF3CFHCF2OCF3,,4550,4550,,40,,,,,IPCC_AR5
"3,3,4,4,5,5,6,6,7,7,7-Undecafluoroheptan-1-ol",CF3(CF2)4CH2CH2OH,,4550,4550,,0.0547945205479452,,,,,IPCC_AR5
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-Pentadecafluorononan-1-ol",CF3(CF2)6CH2CH2OH,,4550,4550,,0.0547945205479452,,,,,IPCC_AR5
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,11-Non-adecafluoroundecan-1-ol",CF3(CF2)8CH2CH2OH,,4550,4550,,0.0547945205479452,,,,,IPCC_AR5
"2-Chloro-1,1,2-trifluoro-1-methoxyethane",CH3OCF2CHFCl,,122,122,,1.4,,,,,IPCC_AR5
HFE-216,CF3OCF=CF2,,122,122,,0.023013698630136987,,,,,IPCC_AR5
"Trifluoromethyl formate",HCOOCF3,,588,588,,3.5,,,,,IPCC_AR5
"Perfluoroethyl formate",HCOOCF2CF3,,580,580,,3.5,,,,,IPCC_AR5
"Perfluoropropyl formate",HCOOCF2CF2CF3,,376,376,,2.6,,,,,IPCC_AR5
"Perfluorobutyl formate",HCOOCF2CF2CF2CF3,,392,392,,3,,,,,IPCC_AR5
"2,2,2-Trifluoroethyl formate",HCOOCH2CF3,,33,33,,0.4,,,,,IPCC_AR5
"3,3,3-Trifluoropropyl formate",HCOOCH2CH2CF3,,17,17,,0.3,,,,,IPCC_AR5
"1,2,2,2-Tetrafluoroethyl formate",HCOOCHFCF3,,470,470,,3.2,,,,,IPCC_AR5
"1,1,1,3,3,3-Hexafluoropropan-2-yl formate",HCOOCH(CF3)2,,333,333,,3.2,,,,,IPCC_AR5
"Perfluorobutyl acetate",CH3COOCF2CF2CF2CF3,,2,2,,0.06,,,,,IPCC_AR5
"Perfluoropropyl acetate",CH3COOCF2CF2CF3,,2,2,,0.06,,,,,IPCC_AR5
"Perfluoroethyl acetate",CH3COOCF2CF3,,2,2,,0.06,,,,,IPCC_AR5
"Trifluoromethyl acetate",CH3COOCF3,,2,2,,0.06,,,,,IPCC_AR5
"Methyl carbonofluoridate",FCOOCH3,,95,95,,1.8,,,,,IPCC_AR5
"1,1-Difluoroethyl carbonofluoridate",FCOOCF2CH3,,27,27,,0.3,,,,,IPCC_AR5
"1,1-Difluoroethyl 2,2,2-trifluoroacetate",CF3COOCF2CH3,,31,31,,0.3,,,,,IPCC_AR5
"Ethyl 2,2,2-trifluoroacetate",CF3COOCH2CH3,,1,1,0.18,0.06,,,,,IPCC_AR5
"2,2,2-Trifluoroethyl 2,2,2-trifluoroacetate",CF3COOCH2CF3,,7,7,,0.15013698630136985,,,,,IPCC_AR5
"Methyl 2,2-difluoroacetate",HCF2COOCH3,,3,3,,0.10986301369863014,,,,,IPCC_AR5
"Difluoromethyl 2,2,2-trifluoroacetate",CF3COOCHF2,,27,27,,0.3,,,,,IPCC_AR5
"2,2,3,3,4,4,4-Heptafluorobutan-1-ol",C3F7CH2OH,,34,34,0.16,0.6,,,,,IPCC_AR5
"1,1,2-Trifluoro-2-(trifluoromethoxy)-ethane",CHF2CHFOCF3,,1240,1240,,9.8,,,,,IPCC_AR5
"1-Ethoxy-1,1,2,3,3,3-hexafluoropropane",CF3CHFCF2OCH2CH3,,23,23,,0.4,,,,,IPCC_AR5
"1,1,1,2,2,3,3-Heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)-propane",CF3CF2CF2OCHFCF3,,6490,6490,,67,,,,,IPCC_AR5
"2,2,3,3-Tetrafluoro-1-propanol",CHF2CF2CH2OH,,13,13,,0.2501369863013699,,,,,IPCC_AR5
"2,2,3,4,4,4-Hexafluoro-1-butanol",CF3CHFCF2CH2OH,,17,17,,0.26,,,,,IPCC_AR5
"1,1,2,2-Tetrafluoro-3-methoxy-propane",CHF2CF2CH2OCH3,,17,17,,0.03890410958904109,,,,,IPCC_AR5
perfluoro-2-methyl-3-pentanone,CF3CF2C(O)CF(CF3)2,,17,17,,0.019178082191780823,,,,,IPCC_AR5
"3,3,3-Trifluoro-propanal",CF3CH2CHO,,17,17,,0.005479452054794521,,,,,IPCC_AR5
2-Fluoroethanol,CH2FCH2OH,,17,17,,0.0558904109589041,,,,,IPCC_AR5
"2,2-Difluoroethanol",CHF2CH2OH,,3,3,,0.1095890410958904,,,,,IPCC_AR5
"2,2,2-Trifluoroethanol",CF3CH2OH,,20,20,,0.3,,,,,IPCC_AR5
"1,1’-Oxybis[2-(difluoromethoxy)-1,1,2,2-tetrafluoroethane",HCF2O(CF2CF2O)2CF2H,,4920,4920,,26,,,,,IPCC_AR5
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12-hexa-decafluoro-2,5,8,11-Tetraoxadodecane",HCF2O(CF2CF2O)3CF2H,,4490,4490,,26,,,,,IPCC_AR5
"1,1,3,3,4,4,6,6,7,7,9,9,10,10,12,12,13,13,15,15-eico-safluoro-2,5,8,11,14-Pentaoxapentadecane",HCF2O(CF2CF2O)4CF2H,,3630,3630,,26,,,,,IPCC_AR5
NH3,NH3,1,1,1,,,NH3,Mt,,,EQW_python_module
SOx,SOx,1,1,1,,,SOx,MtS,,,EQW_python_module
OC,OC,1,1,1,,,OC,Mt,,,EQW_python_module
CO,CO,1,1,1,,,CO,Mt,,,EQW_python_module
NMVOC,NMVOC,1,1,1,,,NMVOC,Mt,,,EQW_python_module
NOx,NOx,1,1,1,,,NOx,MtN,,,EQW_python_module
BC,BC,1,1,1,,,BC,MtC,,,EQW_python_module
Halon151,Halon151,,1750,1750,,,,,,,IIASA_HFC_data
HFC_134,HFC_134,,1120,1120,,,,,,,IIASA_HFC_data
FK,FK,,1,1,,,,,,,IIASA_HFC_data
Hydrocarbons,Hydrocarbons,,3,3,,,,,,,IIASA_HFC_data
HFO_1234yf,HFO_1234yf,,4,4,,0.0301369863013699,,,,,IIASA_HFC_data
HFO_1234ze,HFO_1234ze,,6,6,,0.0493150684931507,,,,,IIASA_HFC_data
SO2,,,,,,,,,,,
