,formula,GWP100_AR4,GWP100_AR5,GWP100,Radiative_efficiency,lifetime,MAGICC6_varname,MAGICC6_unit,MAGICC7_varname,description,source
CFC-11,CCl3F,4750,4660,4660,0.26,45,,,,,IPCC_AR4
CFC-12,CCl2F2,10900,10200,10200,0.32,100,,,,,IPCC_AR4
CFC-13,CClF3,16400,13900,13900,0.25,640,,,,,IPCC_AR4
CFC-113,CCl2FCClF2,6130,5820,5820,0.3,85,,,,,IPCC_AR4
CFC-114,CClF2CClF2,8730,8590,8590,0.31,300,,,,,IPCC_AR4
CFC-115,CClF2CF3,9990,7670,7670,0.2,1700,,,,,IPCC_AR4
Halon-1301,CBrF3,7140,6290,6290,0.3,65,,,,,IPCC_AR4
Halon-1211,CBrClF2,575,1750,1750,0.29,16,,,,,IPCC_AR4
Halon-2402,CBrF2CBrF2,503,1470,1470,0.31,20,,,,,IPCC_AR4
"Carbon tetrachloride",CCl4,1400,1730,1730,0.17,26,,,,,IPCC_AR4
"Methyl bromide",CH3Br,1,2,2,0.004,0.7,,,,,IPCC_AR4
"Methyl chloroform",CH3CCl3,45,160,160,0.07,5,,,,,IPCC_AR4
HCFC-22,CHClF2,1810,1760,1760,0.21,12,,,,,IPCC_AR4
HCFC-123,CHCl2CF3,77,79,79,0.15,1.3,,,,,IPCC_AR4
HCFC-124,CHClFCF3,609,527,527,0.2,5.8,,,,,IPCC_AR4
HCFC-141b,CH3CCl2F,220,782,782,0.16,9.3,,,,,IPCC_AR4
HCFC-142b,CH3CClF2,2310,1980,1980,0.19,17.9,,,,,IPCC_AR4
HCFC-225ca,CHCl2CF2CF3,37,127,127,0.22,1.9,,,,,IPCC_AR4
HCFC-225cb,CHClFCF2CClF2,181,525,525,0.29,5.8,,,,,IPCC_AR4
HFC-23,CHF3,14800,12400,12400,,270,HFC23,kt,,,IPCC_AR4
HFC-32,CH2F2,675,677,677,,4.9,HFC32,kt,,,IPCC_AR4
HFC-125,CHF2CF3,3500,3170,3170,,29,HFC125,kt,,,IPCC_AR4
HFC-134a,CH2FCF3,1430,1300,1300,,14,HFC134a,kt,,,IPCC_AR4
HFC-143a,CH3CF3,4470,4800,4800,0.16,52,HFC143a,kt,,,IPCC_AR4
HFC-152a,CH3CHF2,124,138,138,0.1,1.4,,,,,IPCC_AR4
HFC-227ea,CF3CHFCF3,3220,3350,3350,0.26,34.2,HFC227ea,kt,,,IPCC_AR4
HFC-236fa,CF3CH2CF3,9810,8060,8060,0.24,240,,,,,IPCC_AR4
HFC-245fa,CHF2CH2CF3,314,858,858,0.24,7.6,HFC245fa,kt,,,IPCC_AR4
HFC-365mfc,CH3CF2CH2CF3,241,804,804,0.22,8.6,,,,,IPCC_AR4
HFC-43-10mee,"CF3CHFCHFCF2C F3",1640,1650,1650,0.42,15.9,HFC43_10,kt,,,IPCC_AR4
"Sulphur hexafluoride",SF6,22800,23500,23500,0.57,3200,SF6,kt,,,IPCC_AR4
"Nitrogen trifluoride",NF3,20700,16100,16100,0.2,740,,,,,IPCC_AR4
