,x,lens_pos
0,0.0,0.0
1,1.7844,0.1529
2,2.6365,0.2293
3,3.4886,0.2866
4,4.3762,0.363
5,5.2283,0.4394
6,6.0804,0.5158
7,6.9325,0.5922
8,7.7846,0.6495
9,8.6367,0.7259
10,9.5243,0.8023
11,10.3409,0.8787
12,11.1931,0.9933
13,12.0098,1.1269
14,12.862,1.2414
15,13.7142,1.3559999999999999
16,14.5308,1.4514
17,15.383,1.6041
18,16.1643,1.7568
19,16.980999999999998,1.9095
20,17.7977,2.0621
21,18.6145,2.2148
22,19.4312,2.3675
23,20.2125,2.5393
24,21.0293,2.7301
25,21.8106,2.9209
26,22.6274,3.1308
27,23.3732,3.3026
28,24.119,3.4934
29,24.9003,3.6842
30,25.6106,3.8941
31,26.3565,4.104
32,27.1023,4.3139
33,27.8127,4.5428
34,28.5585,4.7527
35,29.1623,4.9435
36,29.9082,5.1534
37,30.6541,5.4014
38,31.4355,5.6495
39,32.1104,5.8975
40,32.8563,6.1646
41,33.5667,6.3936
42,34.3126,6.6416
43,35.023,6.9087
44,35.7334,7.1758
45,36.4084,7.4429
46,37.1188,7.71
47,37.7937,7.9771
48,38.5042,8.2442
49,39.2146,8.5113
50,39.8895,8.7784
51,40.5645,9.0646
52,41.2039,9.3317
53,41.8434,9.6178
54,42.5184,9.904
55,43.1933,10.1711
56,43.8328,10.4573
57,44.4722,10.7434
58,45.1117,11.0296
59,45.7512,11.3158
60,46.3907,11.620999999999999
61,47.0301,11.9072
62,47.6697,12.2315
63,48.3091,12.5177
64,48.9486,12.8229
65,49.5526,13.1091
66,50.2276,13.4334
67,50.8671,13.7386
68,51.4711,14.0629
69,52.0396,14.3491
70,52.6436,14.6543
71,53.2831,14.9786
72,53.8871,15.2839
73,54.5266,15.5891
74,55.1307,15.9134
75,55.7347,16.2377
76,56.3387,16.5429
77,56.9072,16.8672
78,57.4757,17.1725
79,58.0798,17.4968
80,58.6838,17.802
81,59.2878,18.1454
82,59.8563,18.4506
83,60.4604,18.7749
84,61.0644,19.1183
85,61.633,19.4426
86,62.236999999999995,19.7669
87,62.8411,20.1103
88,63.4451,20.4537
89,64.0137,20.778000000000002
90,64.5822,21.1213
