	replicon	algo	time
116	GCF_000006845	bnb_iter	0.36
117	GCF_000006905	bnb_iter	0.00
118	GCF_000006925	bnb_iter	0.00
119	GCF_000006945	bnb_iter	0.04
120	GCF_000005845	bnb_iter	0.33
121	GCF_000006725	bnb_iter	20.28
122	GCF_000006745	bnb_iter	0.09
123	GCF_000006765	bnb_iter	3.78
124	GCF_000006845	bnb_iter	0.37
125	GCF_000006905	bnb_iter	0.00
126	GCF_000006925	bnb_iter	0.00
127	GCF_000006945	bnb_iter	0.04
128	GCF_000005845	bnb_iter	0.33
129	GCF_000006725	bnb_iter	19.80
130	GCF_000006745	bnb_iter	0.09
131	GCF_000006765	bnb_iter	3.73
132	GCF_000006845	bnb_iter	0.36
133	GCF_000006905	bnb_iter	0.00
134	GCF_000006925	bnb_iter	0.00
135	GCF_000006945	bnb_iter	0.04
136	GCF_000005845	bnb_iter	0.33
137	GCF_000006725	bnb_iter	19.88
138	GCF_000006745	bnb_iter	0.09
139	GCF_000006765	bnb_iter	3.77
140	GCF_000006845	bnb_iter	0.36
141	GCF_000006905	bnb_iter	0.00
142	GCF_000006925	bnb_iter	0.00
143	GCF_000006945	bnb_iter	0.04
144	GCF_000005845	bnb_iter	0.33
145	GCF_000006725	bnb_iter	20.19
146	GCF_000006745	bnb_iter	0.09
147	GCF_000006765	bnb_iter	3.76
148	GCF_000006845	bnb_iter	0.37
149	GCF_000006905	bnb_iter	0.00
150	GCF_000006925	bnb_iter	0.00
151	GCF_000006945	bnb_iter	0.04
152	GCF_000005845	bnb_iter	0.34
153	GCF_000006725	bnb_iter	20.56
154	GCF_000006745	bnb_iter	0.09
155	GCF_000006765	bnb_iter	3.92
156	GCF_000006845	bnb_iter	0.37
157	GCF_000006905	bnb_iter	0.00
158	GCF_000006925	bnb_iter	0.00
159	GCF_000006945	bnb_iter	0.05
160	GCF_000005845	bnb_max_bound	0.14
161	GCF_000006725	bnb_max_bound	24.97
162	GCF_000006745	bnb_max_bound	0.06
163	GCF_000006765	bnb_max_bound	2.11
164	GCF_000006845	bnb_max_bound	0.16
165	GCF_000006905	bnb_max_bound	0.00
166	GCF_000006925	bnb_max_bound	0.00
167	GCF_000006945	bnb_max_bound	0.02
168	GCF_000005845	bnb_max_bound	0.14
169	GCF_000006725	bnb_max_bound	25.31
170	GCF_000006745	bnb_max_bound	0.06
171	GCF_000006765	bnb_max_bound	2.08
172	GCF_000006845	bnb_max_bound	0.16
173	GCF_000006905	bnb_max_bound	0.00
174	GCF_000006925	bnb_max_bound	0.00
175	GCF_000006945	bnb_max_bound	0.02
176	GCF_000005845	bnb_max_bound	0.14
177	GCF_000006725	bnb_max_bound	25.07
178	GCF_000006745	bnb_max_bound	0.06
179	GCF_000006765	bnb_max_bound	2.12
180	GCF_000006845	bnb_max_bound	0.16
181	GCF_000006905	bnb_max_bound	0.00
182	GCF_000006925	bnb_max_bound	0.00
183	GCF_000006945	bnb_max_bound	0.02
184	GCF_000005845	bnb_max_bound	0.14
185	GCF_000006725	bnb_max_bound	26.04
186	GCF_000006745	bnb_max_bound	0.06
187	GCF_000006765	bnb_max_bound	1.74
188	GCF_000006845	bnb_max_bound	0.16
189	GCF_000006905	bnb_max_bound	0.00
190	GCF_000006925	bnb_max_bound	0.00
191	GCF_000006945	bnb_max_bound	0.02
192	GCF_000005845	bnb_max_bound	0.14
193	GCF_000006725	bnb_max_bound	24.61
194	GCF_000006745	bnb_max_bound	0.06
195	GCF_000006765	bnb_max_bound	2.09
196	GCF_000006845	bnb_max_bound	0.16
197	GCF_000006905	bnb_max_bound	0.00
198	GCF_000006925	bnb_max_bound	0.00
199	GCF_000006945	bnb_max_bound	0.02
200	GCF_000005845	bnb_max_bound	0.14
201	GCF_000006725	bnb_max_bound	24.73
202	GCF_000006745	bnb_max_bound	0.06
203	GCF_000006765	bnb_max_bound	2.09
204	GCF_000006845	bnb_max_bound	0.16
205	GCF_000006905	bnb_max_bound	0.00
206	GCF_000006925	bnb_max_bound	0.00
207	GCF_000006945	bnb_max_bound	0.02
208	GCF_000005845	bnb_max_bound	0.14
209	GCF_000006725	bnb_max_bound	26.39
210	GCF_000006745	bnb_max_bound	0.06
211	GCF_000006765	bnb_max_bound	2.11
212	GCF_000006845	bnb_max_bound	0.16
213	GCF_000006905	bnb_max_bound	0.00
214	GCF_000006925	bnb_max_bound	0.00
215	GCF_000006945	bnb_max_bound	0.02
216	GCF_000005845	bnb_max_bound	0.14
217	GCF_000006725	bnb_max_bound	24.48
218	GCF_000006745	bnb_max_bound	0.06
219	GCF_000006765	bnb_max_bound	2.07
220	GCF_000006845	bnb_max_bound	0.16
221	GCF_000006905	bnb_max_bound	0.00
222	GCF_000006925	bnb_max_bound	0.00
223	GCF_000006945	bnb_max_bound	0.02
224	GCF_000005845	bnb_max_bound	0.14
225	GCF_000006725	bnb_max_bound	24.79
226	GCF_000006745	bnb_max_bound	0.06
227	GCF_000006765	bnb_max_bound	2.10
228	GCF_000006845	bnb_max_bound	0.16
229	GCF_000006905	bnb_max_bound	0.00
230	GCF_000006925	bnb_max_bound	0.00
231	GCF_000006945	bnb_max_bound	0.02
232	GCF_000005845	bnb_max_bound	0.14
233	GCF_000006725	bnb_max_bound	24.53
234	GCF_000006745	bnb_max_bound	0.06
235	GCF_000006765	bnb_max_bound	2.08
236	GCF_000006845	bnb_max_bound	0.16
237	GCF_000006905	bnb_max_bound	0.00
238	GCF_000006925	bnb_max_bound	0.00
239	GCF_000006945	bnb_max_bound	0.02
240	GCF_000005845	bnb_max_bound_all_solution	0.16
241	GCF_000006725	bnb_max_bound_all_solution	28.13
242	GCF_000006745	bnb_max_bound_all_solution	0.07
243	GCF_000006765	bnb_max_bound_all_solution	2.83
244	GCF_000006845	bnb_max_bound_all_solution	0.17
245	GCF_000006905	bnb_max_bound_all_solution	0.00
246	GCF_000006925	bnb_max_bound_all_solution	0.00
247	GCF_000006945	bnb_max_bound_all_solution	0.03
248	GCF_000005845	bnb_max_bound_all_solution	0.16
249	GCF_000006725	bnb_max_bound_all_solution	27.95
250	GCF_000006745	bnb_max_bound_all_solution	0.07
251	GCF_000006765	bnb_max_bound_all_solution	2.81
252	GCF_000006845	bnb_max_bound_all_solution	0.17
253	GCF_000006905	bnb_max_bound_all_solution	0.00
254	GCF_000006925	bnb_max_bound_all_solution	0.00
255	GCF_000006945	bnb_max_bound_all_solution	0.03
256	GCF_000005845	bnb_max_bound_all_solution	0.16
257	GCF_000006725	bnb_max_bound_all_solution	29.69
258	GCF_000006745	bnb_max_bound_all_solution	0.07
259	GCF_000006765	bnb_max_bound_all_solution	2.84
260	GCF_000006845	bnb_max_bound_all_solution	0.18
261	GCF_000006905	bnb_max_bound_all_solution	0.00
262	GCF_000006925	bnb_max_bound_all_solution	0.00
263	GCF_000006945	bnb_max_bound_all_solution	0.03
264	GCF_000005845	bnb_max_bound_all_solution	0.16
265	GCF_000006725	bnb_max_bound_all_solution	28.05
266	GCF_000006745	bnb_max_bound_all_solution	0.07
267	GCF_000006765	bnb_max_bound_all_solution	2.81
268	GCF_000006845	bnb_max_bound_all_solution	0.17
269	GCF_000006905	bnb_max_bound_all_solution	0.00
270	GCF_000006925	bnb_max_bound_all_solution	0.00
271	GCF_000006945	bnb_max_bound_all_solution	0.03
272	GCF_000005845	bnb_max_bound_all_solution	0.16
273	GCF_000006725	bnb_max_bound_all_solution	30.05
274	GCF_000006745	bnb_max_bound_all_solution	0.07
275	GCF_000006765	bnb_max_bound_all_solution	2.33
276	GCF_000006845	bnb_max_bound_all_solution	0.18
277	GCF_000006905	bnb_max_bound_all_solution	0.00
278	GCF_000006925	bnb_max_bound_all_solution	0.00
279	GCF_000006945	bnb_max_bound_all_solution	0.03
280	GCF_000005845	bnb_max_bound_all_solution	0.16
281	GCF_000006725	bnb_max_bound_all_solution	28.04
282	GCF_000006745	bnb_max_bound_all_solution	0.07
283	GCF_000006765	bnb_max_bound_all_solution	2.83
284	GCF_000006845	bnb_max_bound_all_solution	0.17
285	GCF_000006905	bnb_max_bound_all_solution	0.00
286	GCF_000006925	bnb_max_bound_all_solution	0.00
287	GCF_000006945	bnb_max_bound_all_solution	0.03
288	GCF_000005845	bnb_max_bound_all_solution	0.16
289	GCF_000006725	bnb_max_bound_all_solution	28.15
290	GCF_000006745	bnb_max_bound_all_solution	0.07
291	GCF_000006765	bnb_max_bound_all_solution	2.82
292	GCF_000006845	bnb_max_bound_all_solution	0.17
293	GCF_000006905	bnb_max_bound_all_solution	0.00
294	GCF_000006925	bnb_max_bound_all_solution	0.00
295	GCF_000006945	bnb_max_bound_all_solution	0.03
296	GCF_000005845	bnb_max_bound_all_solution	0.16
297	GCF_000006725	bnb_max_bound_all_solution	28.31
298	GCF_000006745	bnb_max_bound_all_solution	0.07
299	GCF_000006765	bnb_max_bound_all_solution	2.84
300	GCF_000006845	bnb_max_bound_all_solution	0.18
301	GCF_000006905	bnb_max_bound_all_solution	0.00
302	GCF_000006925	bnb_max_bound_all_solution	0.00
303	GCF_000006945	bnb_max_bound_all_solution	0.03
304	GCF_000005845	bnb_max_bound_all_solution	0.16
305	GCF_000006725	bnb_max_bound_all_solution	28.25
306	GCF_000006745	bnb_max_bound_all_solution	0.07
307	GCF_000006765	bnb_max_bound_all_solution	2.86
308	GCF_000006845	bnb_max_bound_all_solution	0.18
309	GCF_000006905	bnb_max_bound_all_solution	0.00
310	GCF_000006925	bnb_max_bound_all_solution	0.00
311	GCF_000006945	bnb_max_bound_all_solution	0.03
312	GCF_000005845	bnb_max_bound_all_solution	0.16
313	GCF_000006725	bnb_max_bound_all_solution	28.25
314	GCF_000006745	bnb_max_bound_all_solution	0.07
315	GCF_000006765	bnb_max_bound_all_solution	2.84
316	GCF_000006845	bnb_max_bound_all_solution	0.18
317	GCF_000006905	bnb_max_bound_all_solution	0.00
318	GCF_000006925	bnb_max_bound_all_solution	0.00
319	GCF_000006945	bnb_max_bound_all_solution	0.03
320	GCF_000005845	mip	0.78
321	GCF_000006725	mip	5.31
322	GCF_000006745	mip	1.02
323	GCF_000006765	mip	1.51
324	GCF_000006845	mip	1.25
325	GCF_000006905	mip	0.93
326	GCF_000006925	mip	0.94
327	GCF_000006945	mip	0.95
328	GCF_000005845	mip	0.77
329	GCF_000006725	mip	5.25
330	GCF_000006745	mip	0.94
331	GCF_000006765	mip	1.51
332	GCF_000006845	mip	1.18
333	GCF_000006905	mip	0.87
334	GCF_000006925	mip	0.87
335	GCF_000006945	mip	0.89
336	GCF_000005845	mip	0.77
337	GCF_000006725	mip	5.26
338	GCF_000006745	mip	1.01
339	GCF_000006765	mip	1.58
340	GCF_000006845	mip	1.31
341	GCF_000006905	mip	1.01
342	GCF_000006925	mip	1.01
343	GCF_000006945	mip	1.03
344	GCF_000005845	mip	0.77
345	GCF_000006725	mip	5.26
346	GCF_000006745	mip	1.02
347	GCF_000006765	mip	1.58
348	GCF_000006845	mip	1.31
349	GCF_000006905	mip	1.01
350	GCF_000006925	mip	1.09
351	GCF_000006945	mip	1.12
352	GCF_000005845	mip	0.77
353	GCF_000006725	mip	5.27
354	GCF_000006745	mip	0.88
355	GCF_000006765	mip	1.41
356	GCF_000006845	mip	1.14
357	GCF_000006905	mip	0.92
358	GCF_000006925	mip	0.99
359	GCF_000006945	mip	1.00
360	GCF_000005845	mip	0.77
361	GCF_000006725	mip	5.29
362	GCF_000006745	mip	1.07
363	GCF_000006765	mip	1.45
364	GCF_000006845	mip	1.18
365	GCF_000006905	mip	1.13
366	GCF_000006925	mip	1.33
367	GCF_000006945	mip	1.35
368	GCF_000005845	mip	0.77
369	GCF_000006725	mip	5.24
370	GCF_000006745	mip	0.93
371	GCF_000006765	mip	1.49
372	GCF_000006845	mip	1.30
373	GCF_000006905	mip	0.93
374	GCF_000006925	mip	1.36
375	GCF_000006945	mip	1.63
376	GCF_000005845	mip	0.77
377	GCF_000006725	mip	5.24
378	GCF_000006745	mip	1.01
379	GCF_000006765	mip	1.56
380	GCF_000006845	mip	1.31
381	GCF_000006905	mip	0.98
382	GCF_000006925	mip	1.01
383	GCF_000006945	mip	1.05
384	GCF_000005845	mip	1.51
385	GCF_000006725	mip	5.30
386	GCF_000006745	mip	0.95
387	GCF_000006765	mip	1.53
388	GCF_000006845	mip	1.25
389	GCF_000006905	mip	0.94
390	GCF_000006925	mip	0.95
391	GCF_000006945	mip	1.13
392	GCF_000005845	mip	0.77
393	GCF_000006725	mip	5.25
394	GCF_000006745	mip	0.98
395	GCF_000006765	mip	1.55
396	GCF_000006845	mip	1.21
397	GCF_000006905	mip	1.04
398	GCF_000006925	mip	1.49
399	GCF_000006945	mip	1.43
400	GCF_000005845	nx	0.01
401	GCF_000006725	nx	0.32
402	GCF_000006745	nx	0.01
403	GCF_000006765	nx	0.15
404	GCF_000006845	nx	0.01
405	GCF_000006905	nx	0.00
406	GCF_000006925	nx	0.00
407	GCF_000006945	nx	0.00
408	GCF_000005845	nx	0.01
409	GCF_000006725	nx	0.33
410	GCF_000006745	nx	0.01
411	GCF_000006765	nx	0.15
412	GCF_000006845	nx	0.01
413	GCF_000006905	nx	0.00
414	GCF_000006925	nx	0.00
415	GCF_000006945	nx	0.00
416	GCF_000005845	nx	0.01
417	GCF_000006725	nx	0.32
418	GCF_000006745	nx	0.01
419	GCF_000006765	nx	0.15
420	GCF_000006845	nx	0.01
421	GCF_000006905	nx	0.00
422	GCF_000006925	nx	0.00
423	GCF_000006945	nx	0.00
424	GCF_000005845	nx	0.01
425	GCF_000006725	nx	0.32
426	GCF_000006745	nx	0.01
427	GCF_000006765	nx	0.15
428	GCF_000006845	nx	0.01
429	GCF_000006905	nx	0.00
430	GCF_000006925	nx	0.00
431	GCF_000006945	nx	0.00
432	GCF_000005845	nx	0.01
433	GCF_000006725	nx	0.32
434	GCF_000006745	nx	0.01
435	GCF_000006765	nx	0.15
436	GCF_000006845	nx	0.01
437	GCF_000006905	nx	0.00
438	GCF_000006925	nx	0.00
439	GCF_000006945	nx	0.00
440	GCF_000005845	nx	0.01
441	GCF_000006725	nx	0.32
442	GCF_000006745	nx	0.01
443	GCF_000006765	nx	0.15
444	GCF_000006845	nx	0.01
445	GCF_000006905	nx	0.00
446	GCF_000006925	nx	0.00
447	GCF_000006945	nx	0.00
448	GCF_000005845	nx	0.01
449	GCF_000006725	nx	0.32
450	GCF_000006745	nx	0.01
451	GCF_000006765	nx	0.15
452	GCF_000006845	nx	0.01
453	GCF_000006905	nx	0.00
454	GCF_000006925	nx	0.00
455	GCF_000006945	nx	0.00
456	GCF_000005845	nx	0.01
457	GCF_000006725	nx	0.32
458	GCF_000006745	nx	0.01
459	GCF_000006765	nx	0.15
460	GCF_000006845	nx	0.01
461	GCF_000006905	nx	0.00
462	GCF_000006925	nx	0.00
463	GCF_000006945	nx	0.00
464	GCF_000005845	nx	0.01
465	GCF_000006725	nx	0.32
466	GCF_000006745	nx	0.01
467	GCF_000006765	nx	0.15
468	GCF_000006845	nx	0.01
469	GCF_000006905	nx	0.00
470	GCF_000006925	nx	0.00
471	GCF_000006945	nx	0.00
472	GCF_000005845	nx	0.01
473	GCF_000006725	nx	0.32
474	GCF_000006745	nx	0.01
475	GCF_000006765	nx	0.15
476	GCF_000006845	nx	0.01
477	GCF_000006905	nx	0.00
478	GCF_000006925	nx	0.00
479	GCF_000006945	nx	0.00
