	replicon	algo	time
0	GCF_000005845	bnb	0.92
1	GCF_000006725	bnb	153.30
2	GCF_000006745	bnb	0.09
3	GCF_000006765	bnb	4.24
4	GCF_000006845	bnb	1.19
5	GCF_000006905	bnb	0.00
6	GCF_000006925	bnb	0.00
7	GCF_000006945	bnb	0.08
8	GCF_000005845	bnb	0.92
9	GCF_000006725	bnb	154.02
10	GCF_000006745	bnb	0.09
11	GCF_000006765	bnb	4.27
12	GCF_000006845	bnb	1.21
13	GCF_000006905	bnb	0.00
14	GCF_000006925	bnb	0.00
15	GCF_000006945	bnb	0.08
16	GCF_000005845	bnb	0.92
17	GCF_000006725	bnb	151.92
18	GCF_000006745	bnb	0.09
19	GCF_000006765	bnb	4.21
20	GCF_000006845	bnb	1.20
21	GCF_000006905	bnb	0.00
22	GCF_000006925	bnb	0.00
23	GCF_000006945	bnb	0.08
24	GCF_000005845	bnb	0.92
25	GCF_000006725	bnb	152.90
26	GCF_000006745	bnb	0.09
27	GCF_000006765	bnb	4.22
28	GCF_000006845	bnb	1.20
29	GCF_000006905	bnb	0.00
30	GCF_000006925	bnb	0.00
31	GCF_000006945	bnb	0.08
32	GCF_000005845	bnb	0.93
33	GCF_000006725	bnb	156.85
34	GCF_000006745	bnb	0.09
35	GCF_000006765	bnb	4.28
36	GCF_000006845	bnb	1.20
37	GCF_000006905	bnb	0.00
38	GCF_000006925	bnb	0.00
39	GCF_000006945	bnb	0.08
40	GCF_000005845	bnb	0.93
41	GCF_000006725	bnb	154.21
42	GCF_000006745	bnb	0.09
43	GCF_000006765	bnb	4.25
44	GCF_000006845	bnb	1.21
45	GCF_000006905	bnb	0.00
46	GCF_000006925	bnb	0.00
47	GCF_000006945	bnb	0.08
48	GCF_000005845	bnb	0.92
49	GCF_000006725	bnb	152.72
50	GCF_000006745	bnb	0.09
51	GCF_000006765	bnb	4.24
52	GCF_000006845	bnb	1.20
53	GCF_000006905	bnb	0.00
54	GCF_000006925	bnb	0.00
55	GCF_000006945	bnb	0.08
56	GCF_000005845	bnb	0.92
57	GCF_000006725	bnb	152.58
58	GCF_000006745	bnb	0.09
59	GCF_000006765	bnb	4.23
60	GCF_000006845	bnb	1.19
61	GCF_000006905	bnb	0.00
62	GCF_000006925	bnb	0.00
63	GCF_000006945	bnb	0.08
64	GCF_000005845	bnb	0.92
65	GCF_000006725	bnb	152.31
66	GCF_000006745	bnb	0.09
67	GCF_000006765	bnb	4.21
68	GCF_000006845	bnb	1.20
69	GCF_000006905	bnb	0.00
70	GCF_000006925	bnb	0.00
71	GCF_000006945	bnb	0.08
72	GCF_000005845	bnb	0.92
73	GCF_000006725	bnb	156.43
74	GCF_000006745	bnb	0.09
75	GCF_000006765	bnb	4.24
76	GCF_000006845	bnb	1.20
77	GCF_000006905	bnb	0.00
78	GCF_000006925	bnb	0.00
79	GCF_000006945	bnb	0.08
80	GCF_000005845	bnb_iter	0.33
81	GCF_000006725	bnb_iter	19.98
82	GCF_000006745	bnb_iter	0.09
83	GCF_000006765	bnb_iter	3.77
84	GCF_000006845	bnb_iter	0.37
85	GCF_000006905	bnb_iter	0.00
86	GCF_000006925	bnb_iter	0.00
87	GCF_000006945	bnb_iter	0.04
88	GCF_000005845	bnb_iter	0.34
89	GCF_000006725	bnb_iter	21.72
90	GCF_000006745	bnb_iter	0.09
91	GCF_000006765	bnb_iter	3.86
92	GCF_000006845	bnb_iter	0.37
93	GCF_000006905	bnb_iter	0.00
94	GCF_000006925	bnb_iter	0.00
95	GCF_000006945	bnb_iter	0.04
96	GCF_000005845	bnb_iter	0.33
97	GCF_000006725	bnb_iter	20.23
98	GCF_000006745	bnb_iter	0.09
99	GCF_000006765	bnb_iter	3.77
100	GCF_000006845	bnb_iter	0.37
101	GCF_000006905	bnb_iter	0.00
102	GCF_000006925	bnb_iter	0.00
103	GCF_000006945	bnb_iter	0.04
104	GCF_000005845	bnb_iter	0.33
105	GCF_000006725	bnb_iter	20.01
106	GCF_000006745	bnb_iter	0.09
107	GCF_000006765	bnb_iter	3.76
108	GCF_000006845	bnb_iter	0.37
109	GCF_000006905	bnb_iter	0.00
110	GCF_000006925	bnb_iter	0.00
111	GCF_000006945	bnb_iter	0.04
112	GCF_000005845	bnb_iter	0.33
113	GCF_000006725	bnb_iter	21.12
114	GCF_000006745	bnb_iter	0.09
115	GCF_000006765	bnb_iter	3.71
