fid	offset	width	type	mod	group	order	desc	notes
fire?	0	8						unsure how active/inactive/theft are tracked
bow?	8	8						
crystal?	16	8						
score	24	24	uint					
hearts	48	16	uint					
unknown	64	8						
unknown	72	8						
hammers	80	8						
feathers	88	8						
unknown	96	8						clock?
health	104	4		1				
strength	108	4		1				
treasures	112	8						TODO: which specific bits track treasures. I think this byte has more in it, too.
unknown	120	8						
substage	128	2		1				
unknown	130	2						
maze	132	1						
stage	133	3						
