ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.086    0.043    0.745    0.372 _xlsxwriter.py:197(write_cells)
    40594    0.073    0.000    0.073    0.000 {built-in method _libjson.dumps}
    27056    0.061    0.000    0.128    0.000 xmlwriter.py:129(_xml_number_element)
    40594    0.056    0.000    0.258    0.000 worksheet.py:5737(_write_cell)
    40594    0.055    0.000    0.118    0.000 excel.py:425(_format_value)
    40594    0.053    0.000    0.232    0.000 worksheet.py:421(_write)
    40594    0.044    0.000    0.305    0.000 worksheet.py:57(cell_wrapper)
    27056    0.044    0.000    0.095    0.000 worksheet.py:574(_write_number)
        2    0.042    0.021    0.355    0.178 worksheet.py:5555(_write_rows)
      224    0.041    0.000    0.041    0.000 {method 'compress' of 'zlib.Compress' objects}
    33822    0.039    0.000    0.056    0.000 excel.py:668(_generate_body)
    40594    0.038    0.000    0.038    0.000 worksheet.py:3855(_check_dimensions)
    40594    0.036    0.000    0.051    0.000 _base.py:727(_value_with_fmt)
    56631    0.030    0.000    0.062    0.000 codecs.py:373(write)
    40596    0.029    0.000    0.230    0.000 excel.py:685(get_formatted_cells)
    13538    0.027    0.000    0.057    0.000 worksheet.py:527(_write_string)
    40594    0.025    0.000    0.257    0.000 worksheet.py:401(write)
    56526    0.024    0.000    0.024    0.000 {method 'search' of 're.Pattern' objects}
    40594    0.022    0.000    0.022    0.000 utility.py:45(xl_rowcol_to_cell_fast)
    13538    0.022    0.000    0.050    0.000 xmlwriter.py:102(_xml_string_element)
    56631    0.021    0.000    0.083    0.000 codecs.py:719(write)
    40586    0.020    0.000    0.082    0.000 excel.py:551(_format_regular_rows)
    40964    0.020    0.000    0.032    0.000 missing.py:128(_isna_new)
    13538    0.018    0.000    0.081    0.000 worksheet.py:366(_write_token_as_string)
    40594    0.018    0.000    0.018    0.000 excel.py:27(__init__)
    56632    0.017    0.000    0.017    0.000 {method 'write' of '_io.BufferedWriter' objects}
    47646    0.017    0.000    0.037    0.000 xmlwriter.py:180(_escape_attributes)
    56631    0.014    0.000    0.014    0.000 {built-in method _codecs.utf_8_encode}
    40964    0.013    0.000    0.044    0.000 missing.py:48(isna)
    74495    0.012    0.000    0.016    0.000 {built-in method builtins.isinstance}
    40764    0.012    0.000    0.012    0.000 {built-in method __new__ of type object at 0x00007FFBA97079A0}
     6766    0.011    0.000    0.021    0.000 xmlwriter.py:61(_xml_start_tag_unencoded)
103523/102502    0.011    0.000    0.012    0.000 {built-in method builtins.len}
        2    0.011    0.005    0.011    0.005 worksheet.py:5633(_calculate_spans)
    82095    0.009    0.000    0.009    0.000 {pandas._libs.lib.is_scalar}
     6766    0.009    0.000    0.031    0.000 worksheet.py:5682(_write_row)
    27056    0.009    0.000    0.016    0.000 <string>:1(__new__)
      145    0.008    0.000    0.008    0.000 {built-in method nt.stat}
       44    0.008    0.000    0.008    0.000 {built-in method io.open}
    13538    0.008    0.000    0.008    0.000 sharedstrings.py:138(_get_shared_string_index)
    51533    0.008    0.000    0.008    0.000 {built-in method builtins.getattr}
    15452    0.008    0.000    0.012    0.000 re.py:271(_compile)
       11    0.008    0.001    0.008    0.001 {method 'factorize' of 'pandas._libs.hashtable.StringHashTable' objects}
    74594    0.007    0.000    0.007    0.000 {pandas._libs.lib.is_float}
        1    0.007    0.007    0.007    0.007 {pandas._libs.algos.take_2d_axis1_object_object}
    40923    0.007    0.000    0.007    0.000 {built-in method pandas._libs.missing.checknull}
        1    0.007    0.007    0.007    0.007 {built-in method nt.unlink}
       20    0.006    0.000    0.006    0.000 {built-in method nt.remove}
     2203    0.006    0.000    0.043    0.000 sharedstrings.py:86(_write_si)
        1    0.006    0.006    0.007    0.007 necompiler.py:765(evaluate)
    27326    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
     8812    0.006    0.000    0.007    0.000 {method 'sub' of 're.Pattern' objects}
    27056    0.005    0.000    0.005    0.000 {built-in method math.isnan}
    40860    0.005    0.000    0.005    0.000 {pandas._libs.lib.is_integer}
       21    0.005    0.000    0.005    0.000 {built-in method nt.open}
        8    0.005    0.001    0.008    0.001 blocks.py:3322(_merge_blocks)
     6838    0.004    0.000    0.013    0.000 xmlwriter.py:70(_xml_end_tag)
       20    0.004    0.000    0.004    0.000 {built-in method nt.utime}
     8812    0.004    0.000    0.018    0.000 re.py:185(sub)
    27056    0.004    0.000    0.004    0.000 {built-in method math.isinf}
  185/127    0.004    0.000    0.005    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     6774    0.004    0.000    0.004    0.000 excel.py:412(header_style)
      244    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
       20    0.003    0.000    0.003    0.000 {method 'close' of '_io.BufferedWriter' objects}
       35    0.003    0.000    0.003    0.000 {built-in method marshal.loads}
      117    0.003    0.000    0.004    0.000 {pandas._libs.lib.infer_dtype}
