ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     7272    9.356    0.001   29.932    0.004 {method 'Parse' of 'pyexpat.xmlparser' objects}
    55182    8.273    0.000   10.793    0.000 xlsx.py:622(do_row)
  5863963    8.101    0.000   13.324    0.000 ElementTree.py:1544(_start)
 19456286    3.468    0.000    3.468    0.000 ElementTree.py:1533(_fixname)
        1    2.929    2.929   46.638   46.638 xlsx.py:543(own_process_stream)
  5863963    2.674    0.000    4.277    0.000 ElementTree.py:1556(_end)
  5871051    2.598    0.000    3.661    0.000 ElementTree.py:1287(read_events)
  5863963    2.572    0.000    2.572    0.000 {method 'start' of 'xml.etree.ElementTree.TreeBuilder' objects}
  5863787    2.508    0.000    7.251    0.000 ElementTree.py:1512(handler)
  2430336    1.392    0.000    1.415    0.000 sheet.py:696(put_cell_unragged)
  8642112    1.142    0.000    1.142    0.000 {method 'get' of 'xml.etree.ElementTree.Element' objects}
       50    1.059    0.021    1.059    0.021 {pandas._libs.lib.maybe_convert_numeric}
  5863790    1.037    0.000   35.467    0.000 ElementTree.py:1219(iterator)
    55182    0.773    0.000    1.436    0.000 _xlrd.py:101(<listcomp>)
  2759100    0.663    0.000    0.663    0.000 _xlrd.py:59(_parse_cell)
5868195/5868192    0.634    0.000    0.635    0.000 {built-in method builtins.isinstance}
  5863963    0.546    0.000    0.546    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
  5863787    0.467    0.000    0.467    0.000 {method 'append' of 'collections.deque' objects}
        1    0.443    0.443    4.291    4.291 xlsx.py:432(process_stream_iterparse)
  5863787    0.431    0.000    0.431    0.000 {method 'popleft' of 'collections.deque' objects}
   364712    0.412    0.000    0.412    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
   309532    0.322    0.000    0.474    0.000 xlsx.py:143(cooked_text)
     7265    0.319    0.000    0.319    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   309530    0.312    0.000    0.850    0.000 xlsx.py:151(get_text_from_si_or_is)
2977706/2977491    0.254    0.000    0.254    0.000 {built-in method builtins.len}
     7272    0.129    0.000    0.129    0.000 {built-in method zlib.crc32}
       17    0.121    0.007    0.121    0.007 {pandas._libs.parsers.sanitize_objects}
       32    0.105    0.003    0.105    0.003 {pandas._libs.lib.infer_dtype}
     4022    0.101    0.000    0.101    0.000 {method 'read' of '_io.BufferedReader' objects}
   840363    0.092    0.000    0.092    0.000 {method 'append' of 'list' objects}
     7265    0.092    0.000    0.750    0.000 zipfile.py:987(_read1)
        1    0.084    0.084    1.593    1.593 _xlrd.py:48(get_sheet_data)
        2    0.065    0.033    0.070    0.035 managers.py:1854(_stack_arrays)
        1    0.060    0.060    0.060    0.060 {pandas._libs.lib.to_object_array}
     7272    0.051    0.000    0.806    0.000 zipfile.py:907(read)
   309533    0.048    0.000    0.051    0.000 xlsx.py:136(unescape)
    55182    0.044    0.000    0.044    0.000 sheet.py:491(row_values)
   309532    0.038    0.000    0.038    0.000 {method 'strip' of 'str' objects}
        5    0.033    0.007    0.105    0.021 {pandas._libs.lib.map_infer_mask}
   309944    0.029    0.000    0.029    0.000 {method 'join' of 'str' objects}
   124718    0.027    0.000    0.027    0.000 {method 'replace' of 'str' objects}
       16    0.027    0.002    0.027    0.002 {method 'copy' of 'numpy.ndarray' objects}
   309539    0.027    0.000    0.027    0.000 timemachine.py:32(<lambda>)
     4018    0.026    0.000    0.162    0.000 zipfile.py:747(read)
    55182    0.024    0.000    0.024    0.000 sheet.py:483(row_types)
     4026    0.024    0.000    0.024    0.000 {method 'tell' of '_io.BufferedReader' objects}
