   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.142    2.142   18.679   18.679 _xlsxwriter.py:197(write_cells)
   901166    1.886    0.000    3.831    0.000 xmlwriter.py:129(_xml_number_element)
  1163819    1.597    0.000    3.314    0.000 excel.py:425(_format_value)
  1122229    1.581    0.000    2.004    0.000 excel.py:668(_generate_body)
  1163819    1.574    0.000    1.574    0.000 {built-in method _libjson.dumps}
     5655    1.565    0.000    1.565    0.000 {method 'compress' of 'zlib.Compress' objects}
   901166    1.403    0.000    2.915    0.000 worksheet.py:574(_write_number)
  1163819    1.302    0.000    5.266    0.000 worksheet.py:421(_write)
  1067449    1.288    0.000    6.287    0.000 worksheet.py:5737(_write_cell)
  1163819    1.132    0.000    7.181    0.000 worksheet.py:57(cell_wrapper)
  1163819    0.859    0.000    1.200    0.000 _base.py:727(_value_with_fmt)
  1067449    0.852    0.000    0.852    0.000 worksheet.py:3855(_check_dimensions)
        1    0.746    0.746    7.506    7.506 worksheet.py:5555(_write_rows)
  1163820    0.733    0.000    6.582    0.000 excel.py:685(get_formatted_cells)
  1163819    0.664    0.000    5.930    0.000 worksheet.py:401(write)
  1186240    0.628    0.000    1.295    0.000 codecs.py:373(write)
  1067449    0.555    0.000    0.555    0.000 utility.py:45(xl_rowcol_to_cell_fast)
  1251250    0.501    0.000    0.501    0.000 {method 'search' of 're.Pattern' objects}
  1164503    0.493    0.000    0.778    0.000 missing.py:128(_isna_new)
  1163793    0.490    0.000    2.535    0.000 excel.py:551(_format_regular_rows)
  1186240    0.442    0.000    1.737    0.000 codecs.py:719(write)
  1163819    0.431    0.000    0.431    0.000 excel.py:27(__init__)
  1186241    0.383    0.000    0.383    0.000 {method 'write' of '_io.BufferedWriter' objects}
  1109179    0.341    0.000    0.729    0.000 xmlwriter.py:180(_escape_attributes)
  1164503    0.337    0.000    1.115    0.000 missing.py:48(isna)
  1067609    0.302    0.000    0.302    0.000 {built-in method __new__ of type object at 0x00007FFBA76A79A0}
   166283    0.293    0.000    0.619    0.000 worksheet.py:527(_write_string)
