 ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    2.644    0.165    9.244    0.578 sheet.py:771(read)
  1167527    1.626    0.000    2.684    0.000 sheet.py:2198(unpack_RK)
  2137712    1.545    0.000    1.605    0.000 sheet.py:696(put_cell_unragged)
  1543821    1.311    0.000    1.681    0.000 book.py:677(get_record_parts)
  5417151    1.310    0.000    1.310    0.000 {built-in method _struct.unpack}
  4416843    1.186    0.000    2.117    0.000 {built-in method builtins.isinstance}
  2022906    0.711    0.000    0.930    0.000 generic.py:7(_check)
  2139060    0.701    0.000    0.701    0.000 _xlrd.py:59(_parse_cell)
   178255    0.647    0.000    1.348    0.000 _xlrd.py:101(<listcomp>)
  3100942    0.439    0.000    0.533    0.000 {built-in method builtins.getattr}
    78049    0.385    0.000    0.385    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   305626    0.383    0.000    0.872    0.000 common.py:1886(_is_dtype_type)
   282928    0.380    0.000    0.773    0.000 dtypes.py:83(find)
     5228    0.354    0.000    0.367    0.000 {pandas._libs.lib.maybe_convert_numeric}
   467026    0.354    0.000    1.571    0.000 base.py:231(is_dtype)
1658055/1358085    0.339    0.000    0.468    0.000 {built-in method builtins.len}
     5038    0.339    0.000    1.313    0.000 managers.py:1031(set)
    20166    0.328    0.000    0.779    0.000 managers.py:216(_rebuild_blknos_and_blklocs)
47824/47808    0.314    0.000    4.026    0.000 series.py:197(__init__)
254264/236608    0.305    0.000    0.567    0.000 {method 'format' of 'str' objects}
   126418    0.291    0.000    0.718    0.000 _dtype.py:333(_name_get)
174534/164460    0.290    0.000    0.472    0.000 {built-in method numpy.array}
   502889    0.281    0.000    0.365    0.000 {built-in method builtins.hasattr}
  1166150    0.276    0.000    0.495    0.000 timemachine.py:18(<lambda>)
   265340    0.267    0.000    0.804    0.000 common.py:1743(is_extension_array_dtype)
    20136    0.254    0.000    1.618    0.000 algorithms.py:1608(take_nd)
       16    0.234    0.015    1.705    0.107 _xlrd.py:48(get_sheet_data)
  1166150    0.219    0.000    0.219    0.000 {method 'encode' of 'str' objects}
