
% frame   0
% time 0.000
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -4.000     0.000     0.000    -4.000     0.000     0.000    -3.806     0.908    -0.371
         1         2     4.000     0.000     0.000     4.000     0.000     0.000     3.872     0.981     0.144
% end

% frame   1
% time 0.250
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -3.163    -0.112    -0.237    -3.163    -0.112    -0.237    -3.007     0.802    -0.610
         1         2     3.561     0.026    -0.165     3.561     0.026    -0.165     3.433     1.005    -0.008
% end

% frame   2
% time 0.500
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -3.204    -0.168    -0.300    -3.204    -0.168    -0.300    -3.046     0.747    -0.672
         1         2     3.574     0.017    -0.194     3.574     0.017    -0.194     3.442     0.997    -0.042
% end

% frame   3
% time 0.750
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -3.118    -0.190    -0.324    -3.118    -0.190    -0.324    -2.956     0.721    -0.703
         1         2     3.512     0.012    -0.204     3.512     0.012    -0.204     3.380     0.993    -0.062
% end

% frame   4
% time 1.000
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -3.033    -0.209    -0.336    -3.033    -0.209    -0.336    -2.864     0.702    -0.713
         1         2     3.477     0.017    -0.219     3.477     0.017    -0.219     3.350     1.000    -0.080
% end

% frame   5
% time 1.250
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.917    -0.206    -0.342    -2.917    -0.206    -0.342    -2.747     0.702    -0.724
         1         2     3.421     0.020    -0.220     3.421     0.020    -0.220     3.296     1.003    -0.085
% end

% frame   6
% time 1.500
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.805    -0.196    -0.337    -2.805    -0.196    -0.337    -2.644     0.714    -0.719
         1         2     3.377     0.024    -0.228     3.377     0.024    -0.228     3.256     1.007    -0.094
% end

% frame   7
% time 1.750
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.685    -0.194    -0.347    -2.685    -0.194    -0.347    -2.527     0.715    -0.733
         1         2     3.325     0.032    -0.219     3.325     0.032    -0.219     3.190     1.013    -0.079
% end

% frame   8
% time 2.000
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.558    -0.184    -0.344    -2.558    -0.184    -0.344    -2.390     0.725    -0.726
         1         2     3.275     0.028    -0.224     3.275     0.028    -0.224     3.140     1.010    -0.091
% end

% frame   9
% time 2.250
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.449    -0.179    -0.341    -2.449    -0.179    -0.341    -2.293     0.730    -0.728
         1         2     3.222     0.023    -0.217     3.222     0.023    -0.217     3.083     1.004    -0.083
% end

% frame   10
% time 2.500
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.333    -0.181    -0.343    -2.333    -0.181    -0.343    -2.165     0.727    -0.727
         1         2     3.171     0.034    -0.215     3.171     0.034    -0.215     3.036     1.016    -0.086
% end

% frame   11
% time 2.750
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -2.149    -0.167    -0.334    -2.149    -0.167    -0.334    -1.989     0.742    -0.718
         1         2     3.054     0.034    -0.202     3.054     0.034    -0.202     2.922     1.017    -0.073
% end

% frame   12
% time 3.000
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -1.935    -0.148    -0.324    -1.935    -0.148    -0.324    -1.783     0.761    -0.714
         1         2     2.916     0.025    -0.199     2.916     0.025    -0.199     2.786     1.008    -0.070
% end

% frame   13
% time 3.250
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -1.709    -0.125    -0.312    -1.709    -0.125    -0.312    -1.569     0.783    -0.706
         1         2     2.757     0.021    -0.183     2.757     0.021    -0.183     2.631     1.006    -0.061
% end

% frame   14
% time 3.500
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -1.480    -0.102    -0.312    -1.480    -0.102    -0.312    -1.348     0.806    -0.708
         1         2     2.595    -0.000    -0.168     2.595    -0.000    -0.168     2.466     0.983    -0.042
% end

% frame   15
% time 3.750
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -1.216    -0.070    -0.291    -1.216    -0.070    -0.291    -1.093     0.840    -0.689
         1         2     2.424    -0.005    -0.159     2.424    -0.005    -0.159     2.290     0.979    -0.042
% end

% frame   16
% time 4.000
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -0.948    -0.025    -0.267    -0.948    -0.025    -0.267    -0.839     0.885    -0.667
         1         2     2.226    -0.016    -0.122     2.226    -0.016    -0.122     2.083     0.967    -0.002
% end

% frame   17
% time 4.250
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -0.679     0.002    -0.234    -0.679     0.002    -0.234    -0.591     0.915    -0.632
         1         2     2.031    -0.029    -0.088     2.031    -0.029    -0.088     1.891     0.953     0.039
% end

% frame   18
% time 4.500
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -0.402     0.012    -0.186    -0.402     0.012    -0.186    -0.332     0.924    -0.589
         1         2     1.837    -0.036    -0.026     1.837    -0.036    -0.026     1.719     0.949     0.098
% end

% frame   19
% time 4.750
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1    -0.146     0.023    -0.121    -0.146     0.023    -0.121    -0.103     0.937    -0.524
         1         2     1.614    -0.051     0.055     1.614    -0.051     0.055     1.526     0.938     0.174
% end

% frame   20
% time 5.000
% report solid
%    class  identity      cenX      cenY      cenZ   point0X   point0Y   point0Z   point1X   point1Y   point1Z
         1         1     0.058     0.013    -0.065     0.058     0.013    -0.065     0.090     0.930    -0.464
         1         2     1.343    -0.064     0.115     1.343    -0.064     0.115     1.271     0.927     0.230
% end
