Unit Tests of pypos3d version 0.4.0 on mar. févr. 16 22:35:53 CET 2021
Name                                                                        Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------
/home/olivier/workspace/PyPoser/src/pypos3d/__init__.py                         4      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/ChannelImportAnalysis.py     158     27    83%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/Figure.py                    788    120    85%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/GeomCustom.py                166     23    86%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserBasic.py                811     45    94%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserFile.py                 642     79    88%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserMeshed.py               663     94    86%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/SimpleAttribut.py            261     40    85%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/StructuredAttribut.py       1033    134    87%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/__init__.py                    4      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxBasic.py               212      6    97%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxStdModel.py            324     24    93%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/PropSlim.py              203     12    94%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/__init__.py               12      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/DebugPlotter.py               63     63     0%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/GeomGroup.py                 661     86    87%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PaveList2D.py                 66      8    88%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PoserFileParser.py           112     18    84%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/Repere.py                     63      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WFBasic.py                  1112    143    87%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WaveGeom.py                 1229    153    88%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/__init__.py                    4      0   100%
-----------------------------------------------------------------------------------------------
TOTAL                                                                        8591   1075    87%
